Component,Type,Package,Qty
Nucleo-F103RB,STM32 Board,Board,1
Nucleo-F401RE,STM32 Board,Board,3
STM32F429I-Disc,STM32 Board,Board,
Blue-Pill,STM32 Board,Board,12
ST-Link V2,STM32 Board,Board,1
NodeMCU,ESP8266 Board,Board,1
RaspberryPi B+,MiniPC,Board,2
RaspberryPi-3,MiniPC ,Board,1
Beaglebone Black ,MiniPC ,Board,1
Max98357A,Audio I2S DAC ,Board,3
MCP4725,Audio I2C DAC,Board,1
SPH0645,I2S Mic ,Board,1
Analog Mic,Analog Mic,Board,1
ATMega8 Board,AVR-ATMega ,Custom Board,2
USBAsp,AVR-ATMega ,Board,1
PAM8043,Audio Amply ,Board,2
PAM8610,Audio Amply ,Board,1
CMPS03,Compass,Board,1
HC05,TTL-Bluetooth,Board,1
FT232RL,TTL-USB,Custom Board,1
PL2303,TTL-USB,Board,12
ATMega8 Nano,Arduino,Board,1
STM32F407VG,STM32,Chip Board,1
MicroSD,SDCard,SDCard,4
MicroSD 10p,SDCard,SDCard,4
MicroSD 8p,SDCard,SDCard,0
SDCard Adapter,SDCard,Board,1
DSO138,Oscilloscope,Board,1
Jumper Pin,Jumper Pin,Pin,11
Male Header,Header,Connector,-
Female Header,Header,Connector,-
Male-Male Cable ,Rainbow Cable,Cable,-
Female-Male Cable ,Rainbow Cable,Cable,-
Jumper Cable,Cable,Cable,-
Wrapping Cable ,Cable,Cable,-
Black House,Cable Header,Connector,5
MicroUSB,PCB Connector,Connector,9
MiniUSB,PCB Connector,Connector,3
MiniUSB,Cable Connector,Connector,3
Audio 3.5mm,Audio PCB Jack ,Connector,3
Audio 1mm,Audio PCB Jack ,Connector,1
TRRS-TRS Jack,Audio Cable Jack ,Converter,2
Pin-TRS Jack,Audio Cable Jack ,Custom Cable,1
TRRS 3.5 Jack,Audio PCB Jack ,Custom Board,2
DIN-3.5m Power,Battery Cable,Cable,1
USB-A,Cable Connector ,Connector,1
Inductor 330uH,SMD Inductor,Components,4
Inductor 10uH,SMD Inductor,Components,4
AMS1117 1v8,Voltage Regulator ,Components,4
AMS1117 3v3,Voltage Regulator ,Components,2
MC34063,DC-DC Converter,Components,2
H28-0733,,Components,1
OPA344,SMD Amplifier,Components,2
Diode SMA,SMD Diode,Components,4
Diode SMB,SMD Diode,Components,3
Diode SMC,SMD Diode,Components,6
SMD Varistor 10K,SMD Varistor,Components,11
SMD Varistor 50K,SMD Varistor,Components,4
Slide Switch 2P,Slide Switch,Switch,1
Push Switch 2P,Slide Switch,Switch,2
3cm Push Switch 4P,Slide Switch,Switch,1
Elco_10uF,SMD Elco,Components,1
Elco 1000uF,THT Elco,Components,1
R_220,THT Resistor,Components,8
R_470,THT Resistor,Components,10
R_560,THT Resistor,Components,12
R_1k,THT Resistor,Components,10
R_4k7,THT Resistor,Components,4
W503,Multiturn Resistor ,Components,4
STM32F407VG,STM32 Chip,Components,1
Plastic 3cm Spacer,Spacer,Spacer,3
Crystal 12MHz,THT Crystal,Components,1
5mm Photodiode,THT Photodiode,Components,3
5mm LED,THT LED,Components,1
2N3904,THT Transistor,Components,2
C9014,THT Transistor,Components,1
KN222A,THT Transistor,Components,1
IC Socket 8p,IC Socket ,Connector,4
IRF540,THT FET,Components,1
LM317,Voltage Regulator ,Components,2
4N35,DIP Optoswitch,Components,1
4N36,SMD Optoswitch,Components,1
LM386,DIP Op-Amp,Components,1
NAU7802,DIP Ext-ADC,Components,1
Power LED,Power LED,Components,1
R_1206_000,SMD Resistor,Components,3
R_1206_100,SMD Resistor,Components,10
R_1206_220,SMD Resistor,Components,10
R_1206_330,SMD Resistor,Components,9
R_1206_560,SMD Resistor,Components,9
R_1206_100k,SMD Resistor,Components,5
R_0805_000,SMD Resistor,Components,17
R_0805_3.9,SMD Resistor,Components,10
R_0805_5.1,SMD Resistor,Components,8
R_0805_20,SMD Resistor,Components,9
R_0805_51,SMD Resistor,Components,8
R_0805_180,SMD Resistor,Components,6
R_0805_200,SMD Resistor,Components,10
R_0805_330,SMD Resistor,Components,8
R_0805_1k,SMD Resistor,Components,5
R_0805_2k,SMD Resistor,Components,8
R_0805_3k,SMD Resistor,Components,4
R_0805_3k3,SMD Resistor,Components,9
R_0805_4k7,SMD Resistor,Components,2
R_0805_5k9,SMD Resistor,Components,9
R_0805_7k5,SMD Resistor,Components,9
R_0805_10k,SMD Resistor,Components,7
R_0805_12k,SMD Resistor,Components,10
R_0805_100k,SMD Resistor,Components,18
C_0805_22pF,SMD Capasitor,Components,5
C_0805_,SMD Capasitor,Components,8
LED_1206_Red,SMD LED,Components,2
LED_0805_Red,SMD LED,Components,3
LED_0805_Green,SMD LED,Components,7
LED_0805_Yellow,SMD LED,Components,4
LED_0805_,SMD LED,Components,9
OPM-OLS,Special,Components,-
