Qty,Value,Device,Package,Parts,Price,Total
3,,10-XX,B3F-10XX,"S1, S3, S4",4000,12000
1,,M9040P,M9040P,S2,5000,5000
1,,PINHD-1X8,1X08,OUT-CON,,0
3,,TRIMPOT3386,TRIM-3386,"TM1, TM2, TM3",5000,15000
5,100nF,C-EU025-024X044,C025-024X044,"C-1A, C-1B, C-2A, C-2B, C-RST",500,2500
5,4k7,R-EU_0204/7,0204/7,"R-RST, R-SW1A, R-SW1B, R-SW2A, R-SW2B",25,125
1,ARDUINO_MEGA2560,ARDUINO_MEGA2560,ARDUINO_MEGA2560,PCB1,,0
1,,Solder,Dekko RoundType-A,,40000,40000
1,,SolderLubricant,Lodfet,,50000,50000
1,,PCB,Pak Panut,,40000,40000
,Total,,,,,164625
